Naam	Weging
STELLA INTERNATIONAL	0,01%
ATHENEX	0,01%
AIR NEW ZEALAND	0,01%
SUNNOVA ENERGY INTL	0,01%
TYRO PAYMENTS	0,01%
ELKEM	0,01%
DURECT CORP	0,01%
BIOXCEL THERAPEUTICS	0,01%
CORBUS PHARMACEUTICALS	0,01%
EQUITAL	0,01%
SANBIO CO	0,01%
IDEAGEN	0,01%
AGENUS	0,01%
UNICAJA BANCO	0,01%
STRIX GROUP	0,01%
IGM BIOSCIENCES	0,01%
ARCH RESOURCES A	0,01%
YPSOMED HOLDING	0,01%
UNIPHAR	0,01%
PROVENTION BIO	0,01%
SMILEDIRECTCLUB A	0,01%
FIRST PACIFIC CO	0,01%
GREE	0,01%
GRACE TECHNOLOGY	0,01%
AMERESCO A	0,01%
DAIBIRU CORPORATION	0,01%
BUZZI UNICEM RNC	0,01%
DRILLING CO OF 1972(THE)	0,01%
NEXTIER OILFIELD SOLN	0,01%
WALLBRIDGE MINING	0,01%
INMODE	0,01%
MANDARIN ORIENTAL (USD)	0,01%
CO DIAGNOSTIC	0,01%
ALLEGIANT TRAVEL	0,01%
DAITO PHARMACEUTICAL CO	0,01%
SUNEVISION HOLDINGS	0,01%
AIMS APAC REIT MGMT	0,01%
CRE LOGISTICS	0,01%
COOPER ENERGY	0,01%
RMR GROUP	0,01%
AMYRIS	0,01%
CROSSFIRST BANKSHARES	0,01%
ACCEL ENTERTAINMENT A1	0,01%
NATIONAL PRESTO IND	0,01%
US CELLULAR CORP	0,01%
VERSO NEW	0,01%
SESA SPA	0,01%
DYDO GROUP HOLDINGS	0,01%
VALUE PARTNERS	0,01%
SCRIPPS CO (E,W,) A	0,01%
OIL REFINERIES	0,01%
TREDEGAR CORP	0,01%
UCHIDA & YOKO CO	0,01%
ISRAEL CORP	0,01%
BANCA MONTE PASCHI	0,01%
WAREHOUSE REIT	0,01%
DAH SING FINANCIAL HLDGS	0,01%
BELL SYSTEM24 HOLDINGS	0,01%
ITALMOBILIARE	0,01%
ITOCHU ENEX CO	0,01%
TULLOW OIL	0,01%
SKYWEST	0,01%
T-GAIA CORP	0,01%
BELLUS HEALTH	0,01%
BRIGHAM MINERALS A	0,01%
BONDUELLE	0,01%
SPIN MASTER SV	0,01%
CIR (NEW)	0,01%
CALISEN PLC	0,01%
METALL ZUG B	0,01%
SEMBCORP MARINE	0,01%
CORTICEIRA AMORIM	0,01%
MIROKU JYOHO SERVICE CO	0,01%
FB FINANCIAL	0,01%
PROGYNY	0,01%
LEOPALACE21 CORP	0,01%
GARRETT MOTION	0,01%
LPKF LASER & ELECTRONICS	0,01%
LENDLEASE GLOBAL COMM	0,01%
TOEI ANIMATION CO	0,01%
CREDITO EMILIANO	0,01%
CANACOL ENERGY	0,01%
VIVINT SOLAR	0,01%
URSTADT BIDDLE PPTYS A	0,01%
FIH MOBILE	0,01%
REVOLUTION MEDICINES	0,01%
CHIYODA CORP	0,01%
PIAGGIO & C,	0,01%
EVERQUOTE A	0,01%
FIRST NATIONAL FINANCIAL	0,01%
TOYO GOSEI CO	0,01%
DSW	0,01%
VALUECOMMERCE CO	0,01%
NOHMI BOSAI	0,01%
INVESTEC AUSTRALIA (AU)	0,01%
TORII PHARMACEUTICAL CO	0,01%
LASSONDE INDUSTRIES A SV	0,01%
NEW HOPE CORP	0,01%
SABINA GOLD & SILVER	0,01%
GUESS	0,01%
DAH SING BANKING GROUP	0,01%
CADIZ INC	0,01%
PROSEGUR CASH	0,01%
AURELIUS EQUITY OPPR,	0,01%
JTOWER	0,01%
TWIN RIVER WORLDWIDE	0,01%
ALFEN	0,01%
SMART GLOBAL HLDGS	0,01%
SUMITOMO DENSETSU CO	0,01%
FFP	0,01%
UZABASE	0,01%
KINIKSA PHARMA A	0,01%
D/S NORDEN	0,01%
NEXTCURE	0,01%
LISI	0,01%
LIFESTYLE INTL HLDGS	0,01%
XENON PHARMACEUTICALS	0,01%
CIBUS NORDIC REAL ESTATE	0,01%
NEOLEUKIN THERAPEUTICS	0,01%
SHIN-ETSU POLYMER CO	0,01%
DREAM UNLIMITED A	0,01%
DBV TECHNOLOGIES	0,01%
INTEGRAL DIAGNOSTICS	0,01%
TAKAMATSU CONST GROUP CO	0,01%
ZYNEX	0,01%
OPC ENERGY	0,01%
ZEHNDER GROUP INH	0,01%
SIA ENGINEERING CO	0,01%
BLACK DIAMOND THERAPEUT	0,01%
TALGO	0,01%
MUSTI GROUP	0,01%
VILMORIN CLAUSE & CIE	0,01%
KYB CORP	0,01%
JUDGES SCIENTIFIC	0,01%
LIBERBANK	0,01%
HEALIOS	0,01%
PAR PACIFIC HOLDINGS	0,01%
SPROUT SOCIAL A	0,01%
DUCOMMUN	0,01%
CENTRAL GARDEN & PET	0,01%
OROCOBRE	0,01%
ZUKEN	0,01%
MAGNACHIP SEMICONDUCTOR	0,01%
FINCANTIERI	0,01%
TAKI CHEMICAL CO	0,01%
CLEAR CHANNEL OUTDOOR	0,01%
KANTO DENKA KOGYO CO	0,01%
CMBC CAPITAL HLDGS (HK)	0,01%
OCEANIA HEALTHCARE	0,01%
ERAMET	0,01%
NISSHA CO	0,01%
CONSTRUCTION PRTNRS A	0,01%
ANGLO PACIFIC GROUP	0,01%
BEAM THERAPEUTICS	0,01%
MERCER INTERNATIONAL	0,01%
NICHIREKI CO	0,01%
SEDANA MEDICAL AB	0,01%
ALTRI	0,01%
DKS CO	0,01%
COGECO	0,01%
CENTURY ALUMINUM CO	0,01%
FUGRO CERT	0,01%
ARCUTIS BIOTHERAPEUTICS	0,01%
SENIOR	0,01%
CEMENTIR HOLDING	0,01%
WEBUILD	0,01%
MITSUBISHI RESEARCH INST	0,01%
VICTORIA GOLD CORP	0,01%
GUOCOLAND	0,01%
BONANZA CREEK ENERGY	0,01%
SURGERY PARTNERS	0,01%
ZIGNAGO VETRO	0,01%
AIR TRANSPORT SERVICES	0,01%
ASTON MARTIN LAGONDA	0,01%
BW OFFSHORE LIMITED	0,01%
AKCEA THERAPEUTICS	0,01%
PHATHOM PHARMACEUTICALS	0,01%
FREEDOM HOLDING	0,01%
VIEMED HEALTHCARE	0,01%
PASSAGE BIO	0,01%
SPIRIT AIRLINES	0,01%
PILBARA MINERALS	0,01%
CASTLE BIOSCIENCES	0,01%
SASSEUR REIT	0,01%
HLS THERAPEUTICS	0,01%
HONG KONG TV NETWORK	0,01%
PEYTO EXPLORATION & DEV	0,01%
BASWARE	0,01%
ALTIUS MINERALS	0,01%
HUNTING	0,01%
EVERTZ TECH	0,01%
SYNLAIT MILK	0,01%
WEST HOLDINGS CORP	0,01%
TILRAY SV 2	0,01%
STO VORZUG	0,01%
AB SCIENCE	0,01%
ANDLAUER HEALTHCARE SV	0,01%
GOLDEN OCEAN GROUP(NEW)	0,01%
MIQUEL Y COSTAS	0,01%
HEXAGON COMPOSITES	0,01%
GRAN COLOMBIA GOLD CORP	0,01%
M6-METROPOLE TELEVISION	0,01%
FULLCAST HOLDINGS CO	0,01%
DIAMOND S SHIPPING	0,01%
DNO	0,01%
MARCUS CORP (THE)	0,01%
C I TAKIRON CORP	0,01%
W&T OFFSHORE	0,01%
DELEK AUTOMOTIVE SYS	0,01%
EBASE CO	0,01%
NAPCO SECURITY TECH	0,01%
CELLINK B	0,01%
SUNCITY GROUP HLDGS (HK)	0,01%
AMERANT BANCORP A	0,01%
TALOS ENERGY	0,01%
BENETEAU	0,01%
GMO FINANCIAL HOLDINGS	0,01%
ADVANTAGE OIL & GAS	0,01%
NISSIN FOODS COMPANY	0,01%
EZCORP	0,01%
BIOARCTIC B	0,01%
BIRCHCLIFF ENERGY	0,01%
SUNCOKE ENERGY	0,01%
TSUKISHIMA KIKAI CO	0,00%
SYSTEMAX	0,00%
KYOEI STEEL	0,00%
KORU MEDICAL SYSTEMS	0,00%
DICKER DATA	0,00%
ATLAS AIR WORLDWIDE HLDG	0,00%
BW LPG	0,00%
CITYCHAMP WATCH (HK)	0,00%
SERICA ENERGY	0,00%
MINTO APARTMENT REIT	0,00%
SIXT LEASING	0,00%
APREA THERAPEUTICS	0,00%
PRECISION BIOSCIENCES	0,00%
MITSUBISHI LOGISNEXT CO	0,00%
FORESTAR GROUP	0,00%
APG SGA	0,00%
FREEHOLD ROYALTIES	0,00%
LINDBLAD EXPEDITIONS	0,00%
JAPAN DISPLAY	0,00%
AKERO THERAPEUTICS	0,00%
PACIFIC METALS CO	0,00%
IINO KAIUN KAISHA	0,00%
STOKE THERAPEUTICS	0,00%
CREADES A	0,00%
