Fund Holdings as of,"07/jun/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"GILD","GILEAD SCIENCES INC","Gezondheidszorg","Aandelen","65.693.266,80","0,15","65.693.266,80","1.050.420,00","62,54","Verenigde Staten","NASDAQ","USD"
"MU","MICRON TECHNOLOGY INC","IT","Aandelen","64.914.233,36","0,14","64.914.233,36","917.386,00","70,76","Verenigde Staten","NASDAQ","USD"
"BA","BOEING","Industrie","Aandelen","64.570.053,78","0,14","64.570.053,78","458.529,00","140,82","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SYK","STRYKER CORP","Gezondheidszorg","Aandelen","63.319.306,20","0,14","63.319.306,20","274.466,00","230,70","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TGT","TARGET CORP","Luxe-consumentengoederen","Aandelen","62.568.725,34","0,14","62.568.725,34","401.133,00","155,98","Verenigde Staten","New York Stock Exchange Inc.","USD"
"6861","KEYENCE CORP","IT","Aandelen","62.483.715,12","0,14","62.483.715,12","160.604,00","389,05","Japan","Tokyo Stock Exchange","JPY"
"USB","US BANCORP","Financiële waarden","Aandelen","62.207.020,08","0,14","62.207.020,08","1.183.543,00","52,56","Verenigde Staten","New York Stock Exchange Inc.","USD"
"LRCX","LAM RESEARCH CORP","IT","Aandelen","62.106.679,44","0,14","62.106.679,44","118.651,00","523,44","Verenigde Staten","NASDAQ","USD"
"NOC","NORTHROP GRUMMAN CORP","Industrie","Aandelen","61.829.307,24","0,14","61.829.307,24","125.654,00","492,06","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financiële waarden","Aandelen","61.493.967,20","0,14","61.493.967,20","355.046,00","173,20","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Luxe-consumentengoederen","Aandelen","61.299.572,40","0,14","61.299.572,40","1.004.088,00","61,05","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BDX","BECTON DICKINSON","Gezondheidszorg","Aandelen","61.074.166,40","0,14","61.074.166,40","236.795,00","257,92","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrie","Aandelen","60.745.464,22","0,13","60.745.464,22","521.941,00","116,38","Canada","Toronto Stock Exchange","CAD"
"PGR","PROGRESSIVE CORP","Financiële waarden","Aandelen","60.405.458,84","0,13","60.405.458,84","498.436,00","121,19","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CME","CME GROUP INC CLASS A","Financiële waarden","Aandelen","60.400.176,40","0,13","60.400.176,40","297.890,00","202,76","Verenigde Staten","NASDAQ","USD"
"SU","SCHNEIDER ELECTRIC","Industrie","Aandelen","60.259.173,88","0,13","60.259.173,88","433.719,00","138,94","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financiële waarden","Aandelen","59.801.946,80","0,13","59.801.946,80","2.752.148,00","21,73","Australië","Asx - All Markets","AUD"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financiële waarden","Aandelen","59.392.734,62","0,13","59.392.734,62","10.499.136,00","5,66","Japan","Tokyo Stock Exchange","JPY"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","Financiële waarden","Aandelen","59.353.881,33","0,13","59.353.881,33","1.165.986,00","50,90","Canada","Toronto Stock Exchange","CAD"
"CSX","CSX CORP","Industrie","Aandelen","59.219.769,84","0,13","59.219.769,84","1.818.789,00","32,56","Verenigde Staten","NASDAQ","USD"
"BMO","BANK OF MONTREAL","Financiële waarden","Aandelen","59.134.710,65","0,13","59.134.710,65","536.962,00","110,13","Canada","Toronto Stock Exchange","CAD"
"SHW","SHERWIN WILLIAMS","Materialen","Aandelen","58.673.511,66","0,13","58.673.511,66","211.642,00","277,23","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CP","CANADIAN PACIFIC RAILWAY LTD","Industrie","Aandelen","58.542.562,75","0,13","58.542.562,75","767.660,00","76,26","Canada","Toronto Stock Exchange","CAD"
